2842,1909,1259,1725,1590,2255,607,2236,2419,2200,0,1631,1909,1233,2000,2075,1537,2366,1871,2329,1790,1734,1259,1596,1598,1692,1618,2850,2931,1233,1909,1872,1702,1936,2018,2223,1624,1540,1101,750,1589,1624,1526,1635,2889,1986,2034,1831,2473,2196,1259,X,2018,2289,1646,2371,2186,2024,877,1660,X,1635,1258,1236,1233,3257,2188,X,1725,1429,1624,1526,X,1900,1429,1983,1598,1471,2312,2964,1540
1787,929,1059,439,305,1544,1268,950,1295,1145,671,0,623,1033,1800,1081,482,1103,1204,1043,1590,679,1059,541,543,1320,332,2183,2731,178,623,586,1130,942,963,1168,569,485,1159,1148,1254,569,708,1037,1834,700,979,895,1418,968,887,X,963,1234,591,741,1170,738,1548,605,X,1320,1058,1907,119,1971,1133,X,439,1315,569,708,X,614,762,1272,543,1248,1026,1678,485
2303,1445,1460,925,1051,1117,1553,378,672,1576,997,1534,0,1434,2201,1597,883,1624,1725,1790,1991,1080,1460,942,944,1458,1079,2704,3132,694,1144,1107,1670,1458,1364,1684,970,1001,845,718,2001,1085,1455,1784,2350,1221,1495,1642,1791,345,1403,X,1364,1635,1107,2274,1571,1485,1823,1006,X,1836,1459,2182,694,2242,1534,X,1186,1831,1085,1455,X,1135,1283,845,944,1439,1297,2425,1001
1609,751,881,492,357,1597,1124,1003,1186,967,724,955,676,0,767,903,304,1156,1257,1096,1412,501,881,363,365,1142,385,2236,1698,0,676,639,1237,764,734,990,391,307,981,1127,1307,391,761,1090,1656,753,801,948,1240,963,709,X,785,1056,413,1695,953,791,1538,427,X,1142,880,1897,-60,2024,955,X,492,1137,391,761,X,667,815,1325,365,1355,1079,1731,307
2050,1192,1060,933,798,2032,1303,1242,419,1146,1165,1134,915,1034,0,1344,483,1395,570,1537,1591,680,1060,542,544,1493,826,1549,931,441,915,878,1678,1205,964,1431,570,748,1160,1306,1748,570,1202,1436,2097,992,1242,1247,1681,1260,1060,X,964,1235,854,1874,186,1090,1717,606,X,1436,1059,2076,441,2263,1134,X,933,1578,570,1202,X,906,1054,1760,544,1796,1318,2030,748
1874,1314,979,1445,1310,1280,835,1161,1506,1065,294,1053,834,953,1653,0,402,1314,676,2049,1510,599,979,461,463,1412,1338,1655,2584,953,834,797,1621,957,883,1415,489,973,825,971,877,676,331,660,1921,911,1177,1166,700,1179,979,X,883,767,1079,1793,1090,1009,1171,525,X,976,978,1530,953,2182,1053,X,1445,234,489,283,X,825,234,1008,463,1692,1237,1949,973
2019,912,577,1043,908,1549,820,759,1104,961,982,651,432,569,1318,1454,0,912,1013,1647,1108,197,577,59,61,1010,936,1992,2249,551,432,413,1781,1315,481,1400,550,858,1118,1150,1802,550,1312,953,2066,509,1352,1149,1329,777,577,X,481,752,964,1391,688,1070,1234,123,X,953,576,1593,551,1780,651,X,1043,1642,550,1312,X,423,571,1277,69,1871,835,2010,858
2360,-48,874,672,1205,1777,165,1183,1528,1547,413,1535,856,848,1615,1654,884,0,1429,1276,1405,1000,874,480,609,391,565,2408,2546,848,856,819,1607,1515,1063,1741,971,1058,1415,655,1147,971,1084,1250,2407,933,1552,1128,1753,1201,-42,X,1063,1231,1164,2275,1270,971,1290,926,X,1250,873,1649,848,2204,1535,X,672,987,971,1084,X,847,987,1505,945,1376,1259,1911,1058
1932,825,490,956,821,1462,733,672,1017,576,895,564,345,464,1231,1367,-87,825,0,1560,1021,110,490,-28,-26,923,849,979,2162,464,345,308,1688,1228,394,1313,0,771,590,736,1715,-87,1225,866,1979,422,979,677,1242,690,490,X,394,665,877,1304,601,520,1147,36,X,866,489,1506,464,1693,564,X,956,1555,0,1225,X,336,484,1190,-36,1457,748,1460,771
1383,1449,724,876,741,1536,1149,1387,1732,1665,809,986,1060,698,1465,677,794,1540,1353,0,1255,911,724,773,775,1157,769,2332,2396,698,1060,1023,1011,538,1195,764,1089,81,1081,105,1392,1089,846,916,1430,1137,575,1332,1014,737,724,X,1195,1081,187,1726,1402,1175,1686,837,X,916,1290,2045,698,2408,1365,X,876,911,1089,846,X,1051,911,1264,775,826,1463,2115,81
